id_signo;signo;texto_motivacao_interna;;;;;;;;;;;;;;;;;;;;;;;
DWAD_ARIES;ARIES;Uma motivação interna por ação, autoafirmação e pioneirismo, impulsionando a energia a se manifestar de forma direta e corajosa.;;;;;;;;;;;;;;;;;;;;;;;
DWAD_TOURO;TOURO;Uma motivação interna por segurança, estabilidade e concretização no mundo material, buscando criar valor tangível e duradouro.;;;;;;;;;;;;;;;;;;;;;;;
DWAD_GEMEOS;GEMEOS;Uma motivação interna por comunicação, aprendizado e variedade intelectual, buscando conectar e trocar informações.;;;;;;;;;;;;;;;;;;;;;;;
DWAD_CANCER;CANCER;Uma motivação interna por segurança emocional, pertencimento e nutrição, buscando criar laços e um refúgio seguro.;;;;;;;;;;;;;;;;;;;;;;;
DWAD_LEAO;LEAO;Uma motivação interna por autoexpressão criativa, reconhecimento e generosidade, buscando irradiar sua essência de forma calorosa.;;;;;;;;;;;;;;;;;;;;;;;
DWAD_VIRGEM;VIRGEM;Uma motivação interna por aprimoramento, análise e o desejo de ser útil, buscando a ordem, a eficiência e a cura.;;;;;;;;;;;;;;;;;;;;;;;
DWAD_LIBRA;LIBRA;Uma motivação interna por harmonia, relacionamento e a busca por equilíbrio e justiça nas interações.;;;;;;;;;;;;;;;;;;;;;;;
DWAD_ESCORPIAO;ESCORPIAO;Uma motivação interna por profundidade, transformação e a busca pela verdade essencial, sem medo da intensidade.;;;;;;;;;;;;;;;;;;;;;;;
DWAD_SAGITARIO;SAGITARIO;Uma motivação interna por expansão, liberdade e a busca por um significado maior, sempre olhando para o horizonte.;;;;;;;;;;;;;;;;;;;;;;;
DWAD_CAPRICORNIO;CAPRICORNIO;Uma motivação interna por estrutura, realização e maestria no mundo concreto, buscando construir algo de valor perene.;;;;;;;;;;;;;;;;;;;;;;;
DWAD_AQUARIO;AQUARIO;Uma motivação interna por originalidade, contribuição social e ideais humanitários, buscando inovar e se conectar ao coletivo.;;;;;;;;;;;;;;;;;;;;;;;
DWAD_PEIXES;PEIXES;Uma motivação interna por transcendência, compaixão e conexão espiritual com o todo, buscando dissolver fronteiras.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
