id_unico;signo;grau;texto_simbolo;;;;;;;;;;;;;;;;;;;;;;
ARIES_1;Áries;1;Uma nova forma de ser emerge das profundezas do potencial infinito. É o nascimento de uma nova consciência, ainda conectada às suas origens primordiais, trazendo consigo um poder e uma vitalidade puros e instintivos.;;;;;;;;;;;;;;;;;;;;;;
ARIES_2;Áries;2;A capacidade de se observar e de compreender a natureza humana com uma objetividade bem-humorada. Este grau convida a ver a vida como um palco, a entender os papéis que desempenhamos e a encontrar sabedoria ao rir de nossas próprias tolices.;;;;;;;;;;;;;;;;;;;;;;
ARIES_3;Áries;3;A imagem de uma identidade que está predestinada a se tornar um símbolo para algo maior. É a compreensão de que o destino pessoal está entrelaçado com o destino coletivo, e a potencialidade de encarnar um arquétipo que define uma cultura.;;;;;;;;;;;;;;;;;;;;;;
ARIES_4;Áries;4;A dança do amor e da intimidade, onde dois se tornam um sem perder a individualidade. Este grau fala da alegria da união e da descoberta do outro, um espelho que revela facetas ocultas de si mesmo através da conexão e do afeto.;;;;;;;;;;;;;;;;;;;;;;
ARIES_5;Áries;5;O despertar de um poder interior, um dom ou uma capacidade que traz uma responsabilidade sagrada. É o símbolo da magia imanente na natureza e da necessidade de usar os próprios talentos com propósito e reverência.;;;;;;;;;;;;;;;;;;;;;;
ARIES_6;Áries;6;Um desejo ardente de manifestar ideais no mundo, iluminando um caminho claro em direção a um objetivo. Este grau representa a força da visão e da ambição focada, a capacidade de abrir uma trilha onde antes não havia nenhuma.;;;;;;;;;;;;;;;;;;;;;;
ARIES_7;Áries;7;A habilidade de enxergar a dualidade da existência e de participar de múltiplos domínios da vida simultaneamente. É um símbolo da versatilidade e da capacidade de integrar diferentes realidades sem se perder em nenhuma delas.;;;;;;;;;;;;;;;;;;;;;;
ARIES_8;Áries;8;Uma expressão de poder feminino que é indomável e protetor. Este grau fala da força da soberania, da proteção territorial e de uma liderança que é ao mesmo tempo graciosa e ferozmente autônoma.;;;;;;;;;;;;;;;;;;;;;;
ARIES_9;Áries;9;A capacidade de perceber padrões sutis e de interpretar os sinais ocultos da realidade. É o dom da visão interior, da clarividência, que permite enxergar além do véu do aparente para compreender as verdades essenciais.;;;;;;;;;;;;;;;;;;;;;;
ARIES_10;Áries;10;A revelação de uma nova sabedoria, a formulação de um ensinamento que pode guiar a consciência para um novo patamar. É o arquétipo do professor, aquele que torna visíveis as leis universais através de uma linguagem clara e potente.;;;;;;;;;;;;;;;;;;;;;;
ARIES_11;Áries;11;A encarnação de um ideal social ou de uma autoridade governante. Este grau fala da capacidade de liderar uma nação ou um grupo, personificando as qualidades e as aspirações de toda a coletividade.;;;;;;;;;;;;;;;;;;;;;;
ARIES_12;Áries;12;Um mergulho no mundo natural que traz uma sensação de paz e renovação. É o símbolo do poder regenerador da natureza e da importância de se reconectar com os ritmos primordiais da vida para encontrar equilíbrio e vitalidade.;;;;;;;;;;;;;;;;;;;;;;
ARIES_13;Áries;13;Uma súbita e frustrada explosão de energia que revela um potencial não realizado. É a imagem de um poder que ainda não encontrou seu canal de expressão adequado, indicando a necessidade de direcionar a força interior de forma mais construtiva.;;;;;;;;;;;;;;;;;;;;;;
ARIES_14;Áries;14;O movimento sinuoso e hipnótico da energia vital e da sedução. Este grau fala da dança do desejo, da atração e da sabedoria instintiva do corpo, um convite para se conectar com a própria sensualidade e poder de atração.;;;;;;;;;;;;;;;;;;;;;;
ARIES_15;Áries;15;A dedicação em tecer os fios da vida cotidiana em um padrão de significado e propósito. Este grau fala da importância de trazer a intenção sagrada para o trabalho diário, entendendo que cada ação pode ser um ato de criação e um elo com o todo.;;;;;;;;;;;;;;;;;;;;;;
ARIES_16;Áries;16;Espíritos da natureza dançando sob a luz do sol poente. A imagem de uma conexão invisível, mas potente, com as energias sutis da natureza. É um convite para reconhecer a magia imanente no mundo e para se alegrar com as forças elementais da vida.;;;;;;;;;;;;;;;;;;;;;;
ARIES_17;Áries;17;Duas solteironas sentadas em silêncio. A serenidade que vem da auto-suficiência e da capacidade de encontrar plenitude dentro de si mesmo, sem depender de validação externa. É um símbolo da quietude, da dignidade e da força interior.;;;;;;;;;;;;;;;;;;;;;;
ARIES_18;Áries;18;Uma rede de balanço vazia entre duas árvores. A necessidade de um interlúdio, um momento de descanso e contemplação para processar experiências. É o símbolo do ritmo saudável entre a atividade e a quietude, essencial para a regeneração.;;;;;;;;;;;;;;;;;;;;;;
ARIES_19;Áries;19;O poder mágico de unir o céu e a terra, o ideal e o real. Este grau fala da capacidade de manifestar os desejos através da força da intenção e de servir como uma ponte entre o mundo espiritual e o material.;;;;;;;;;;;;;;;;;;;;;;
ARIES_20;Áries;20;Uma jovem alimentando os pássaros no inverno. Um ato de compaixão e cuidado em tempos de dificuldade. É o símbolo da generosidade que sustenta a vida e da confiança de que a ajuda virá mesmo nas circunstâncias mais áridas.;;;;;;;;;;;;;;;;;;;;;;
ARIES_21;Áries;21;Um pugilista entrando no ringue. A coragem de enfrentar os desafios da vida de frente. Este grau fala da prontidão para a luta, da mobilização de todas as forças para competir e para provar o seu valor através da ação direta.;;;;;;;;;;;;;;;;;;;;;;
ARIES_22;Áries;22;O portal para um jardim de todos os desejos realizados. A promessa de abundância e felicidade que se abre através da pureza de intenção e da gratidão. É um símbolo da fé na providência e da abertura para receber as bênçãos da vida.;;;;;;;;;;;;;;;;;;;;;;
ARIES_23;Áries;23;Uma mulher grávida com roupas de verão leves. A promessa de uma nova vida e de uma nova criação que está prestes a se manifestar. É o símbolo da fertilidade, da receptividade e da sensação de que algo novo e belo está a caminho.;;;;;;;;;;;;;;;;;;;;;;
ARIES_24;Áries;24;Uma janela aberta e uma cortina soprando para dentro em forma de cornucópia. A influência de energias espirituais e de inspiração que entram na consciência, trazendo consigo dons e insights inesperados. É um símbolo da abertura para o invisível.;;;;;;;;;;;;;;;;;;;;;;
ARIES_25;Áries;25;A revelação de que a verdadeira posse e segurança vêm da superação de si mesmo e da experiência. Este grau fala da certeza interior que nasce não do que se tem, mas do que se tornou através das provações e do esforço.;;;;;;;;;;;;;;;;;;;;;;
ARIES_26;Áries;26;Um homem possuído de mais dons do que pode sustentar. A abundância de potencial que precisa ser ordenada e focada para se tornar eficaz. É o símbolo da necessidade de discernimento para escolher em qual talento se concentrar e desenvolver.;;;;;;;;;;;;;;;;;;;;;;
ARIES_27;Áries;27;A perda de oportunidade recuperada através da imaginação. A capacidade da mente de reviver e re-imaginar o passado, encontrando novas perspectivas e aprendizados, mesmo a partir de experiências que pareciam ter sido perdidas.;;;;;;;;;;;;;;;;;;;;;;
ARIES_28;Áries;28;Uma grande audiência desapontada. A experiência de não corresponder às expectativas coletivas. Este grau convida a uma reavaliação de seus objetivos e de sua performance, aprendendo a lidar com a realidade e a ajustar sua expressão ao mundo.;;;;;;;;;;;;;;;;;;;;;;
